Tile Ground 0 0
Tile Ground 1 0
Tile Ground 2 0
Tile Ground 3 0
Tile Ground 4 0
Tile Ground 5 0
Tile Ground 6 0
Tile Ground 7 0
Tile Ground 8 0
Tile Ground 9 0
Tile Ground 10 0
Tile Ground 11 0
Tile Ground 12 0
Tile Ground 13 0
Tile Ground 14 0
Tile Ground 15 0
Tile Ground 16 0
Tile Ground 17 0
Tile Ground 18 0
Tile Ground 19 0
Tile Ground 20 0
Tile Ground 21 0
Tile Ground 22 0
Tile Ground 23 0
Tile Ground 24 0
Tile Ground 25 0
Tile Ground 26 0
Tile Ground 27 0
Tile Ground 39 0
Tile Ground 40 0
Tile Ground 41 0
Tile Ground 42 0
Tile Ground 43 0
Tile Ground 44 0
Tile Ground 45 0
Tile Ground 46 0
Tile Ground 47 0
Tile Ground 48 0
Tile Ground 49 0
Tile Ground 50 0
Tile Ground 51 0
Tile Ground 52 0
Tile Ground 53 0
Tile Ground 65 0
Tile Ground 66 0
Tile Ground 67 0
Tile Ground 70 0
Tile Ground 71 0
Tile Ground 72 0
Tile Ground 73 0
Tile Ground 74 0
Tile Ground 75 0
Tile Ground 76 0
Tile Ground 77 0
Tile Ground 78 0
Tile Ground 79 0
Tile Ground 80 0
Tile Ground 81 0
Tile Ground 82 0
Tile Ground 83 0
Tile Ground 84 0
Tile Ground 85 0
Tile Ground 86 0
Tile Ground 87 0
Tile Ground 88 0
Tile Ground 89 0
Tile Ground 90 0
Tile Ground 91 0
Tile Ground 92 0
Tile Ground 93 0
Tile Ground 94 0
Tile Ground 95 0
Tile Ground 96 0
Tile Ground 97 0
Tile Ground 98 0
Tile Ground 99 0
Dec HillBig 0 1
Dec CloudMedium 3 7
Tile Question 3 3
Tile Brick 5 3
Tile Question 6 3
Tile Brick 7 3
Tile Question 7 6
Tile Question 8 3
Tile Brick 8 6
Tile Question 8 9
Tile Brick 9 3
Tile Question 9 6
Tile Question 10 3
Tile Brick 11 3
Dec CloudSmall 13 8
Tile Pipe 15 1
Dec BushBig 20 1
Spike Spike 24 1
Dec CloudBig 24 8
Spike Spike 25 1
Spike Spike 26 1
Tile Ground 27 1
Tile Ground 27 2
Tile Ground 27 3
Tile Brick 27 4
Tile Ground 33 2
Tile Ground 34 2
Spike Spike 34 3
Dec CloudSmall 34 9
Tile Ground 35 2
Spike Spike 35 3
Tile Ground 36 2
Tile Brick 39 1
Tile Brick 39 2
Tile Ground 39 3
Tile Ground 39 4
Tile Ground 39 5
Tile Ground 39 6
Tile Ground 39 7
Tile Ground 39 8
Tile Ground 39 9
Tile Ground 39 10
Tile Ground 39 11
Dec HillBig 42 1
Dec CloudMedium 43 8
Tile Block 46 1
Tile Block 47 1
Tile Block 47 2
Tile Block 48 1
Tile Block 48 2
Tile Block 48 3
Dec CloudSmall 48 7
Tile Block 49 1
Tile Block 49 2
Tile Block 49 3
Tile Block 49 4
Spike Spike 50 1
Spike Spike 51 1
Spike Spike 52 1
Spike Spike 53 1
Tile Ground 53 2
Tile Ground 53 5
Tile Ground 53 6
Tile Ground 53 7
Tile Ground 53 8
Tile Ground 53 9
Tile Ground 53 10
Tile Ground 53 11
Tile Ground 53 12
Tile Ground 53 13
Tile Ground 53 14
Tile Ground 53 15
Tile Ground 53 16
Tile Ground 53 17
Tile Ground 53 18
Tile Ground 53 19
Tile Ground 53 20
Tile Ground 54 2
Tile Ground 55 2
Tile Ground 56 2
Tile Ground 57 2
Tile Question 57 6
Tile Ground 58 2
Tile Ground 59 2
Tile Ground 60 2
Dec CloudBig 60 9
Dec BushSmall 65 1
Spike Spike 65 1
Spike Spike 67 1
Tile Brick 70 1
Tile Brick 70 2
Tile Brick 70 3
Tile Ground 70 4
Tile Ground 70 5
Tile Ground 70 6
Tile Ground 70 7
Tile Ground 70 8
Tile Ground 70 9
Tile Ground 70 10
Tile Ground 70 11
Tile Ground 70 12
Tile Ground 70 13
Tile Ground 70 14
Tile Ground 70 15
Tile Ground 70 16
Tile Ground 70 17
Tile Ground 70 18
Tile Ground 70 19
Tile Ground 70 20
Tile Brick 71 1
Tile Brick 71 2
Tile Brick 71 3
Tile Ground 71 4
Tile Brick 72 1
Tile Brick 72 2
Tile Brick 72 3
Tile Ground 72 4
Tile Question 72 7
Tile Ground 73 4
Tile Question 73 7
Tile Question 73 10
Tile Ground 74 4
Tile Question 74 7
Tile Ground 75 4
Tile Ground 76 4
Dec HillBig 80 1
Tile Flagpole 81 1
Dec CloudSmall 82 10
Dec CastleSmall 84 1
Tile Ground 99 1
Tile Ground 99 2
Tile Ground 99 3
Tile Ground 99 4
Tile Ground 99 5
Tile Ground 99 6
Tile Ground 99 7
Tile Ground 99 8
Tile Ground 99 9
Tile Ground 99 10
Tile Ground 99 11
Player 1 1 32 64 5 12 20 1 Buster
